Row Labels,Sum of value
"Director    Marketing, HIT Taxila",603
"Ms. Hina Rabbani Khar, Minister   of   State   for Economic Affairs",600
"Hina       Rabbai       Khar, Minister    of    State    for",600
Brig.  Azhar  Mehmood  PP to Prime Minister,600
"Saqlain          Javed, Protocol  Officer  (V-
I)",550
"Wg. Cdr. Waqar Ahmed, Deputy               Military Secretary  to  the  Prime
Minister",500
"Syed Afzal Hussain Shah,
Protocol    Officer    (V-II), Foreign Affairs",500
"Mr. Muhammad Ali Baba, Superintendent of Police",500
"Mr. Shaukat Aziz, Minister Finance    and    Economic
Affairs",500
Officer/Staff    of    PS    to President (Personal),500
"Mr.  Waqar   Masood Khan,       Secretary,
Economic Affairs",500
"Mr.   Omer   Ayub   Khan, Minister for Energy",500
"Mr.     Sikandar     Hayat Khan    Bosan,    Federal
Minister       for       Food Agriculture & Livestock",500
"Mr.        Abid        Saeed, Additional        Secretary, Food & Agriculture",500
"Constable       Muhammad Yameen, Police Gunman",500
"Col.  Salik  Nawaz  (Retd), Deputy  Chief  of  Protocol,
Foreign Affairs",500
"Constable    Siraj    Khan, Police Gunman",500
"Dr. Tariq Hassan, Advisor to Finance Minister",500
"Dr.   Moeed   Yousaf, SAPM    on    National Security   Division   & Strategic          Policy Planning",500
"Brig.   Nauman   Anwar, Director,   Marketing    & Procurement,       Heavy
Industries Taxila",500
"Brig.    Nasir    Dilawar Shah,             Military Secretary    to    Prime
Minister (MS to PM)",500
"Secretary,   Petroleum   & Natural Resources",450
"Secretary, Economic Affairs Division",400
"Sqdn    Ldr    Waqar Ahmed,  ADC  to  the Prime Minister",400
"Mr. Kamal Majidulla, Special  Assistant  to Prime         Minister, SAPM     on     Water Resources          and
Agriculture",400
"Mr.  M.  Amjad  Aziz Qazi,  DCP,  Foreign
Affairs",400
"Mr.  M.  Qasim  Faqir,
Protocol        Officer, Foreign Affairs",400
"Mr.  Masood  Khalid, Additional Secretary,    Foreign
Affairs",400
"Mr.    A.Q.    Mughal, Vice        Chancellor,
Sindh      Agriculture
University, Tandojam, Sindh",400
"Mr.    Ghalib    Iqbal,
Chief    of    Protocol, Foreign Affairs",400
"Mr      Saleem      H. Mandviwalla, Chairman,  Board  of
Investment, Islamabad",400
"Lt.   Col.   Muhammad   Ilyas,   Chief Security Officer to Chief Executive",400
L/ NK Daud Rehman,400
"Major  Asad  Farooq, Security Officer to Chief Executive",400
L/NK M. Aslam,400
L/NK M. Yousaf,400
L/NK Muhammad Asghar,400
"Dr    Asim    Hussain, Chairman NRB",400
"Hav. M. Shaukat, Gunman",400
"Hav. M. Makeem, Gunman",400
"Dr.       Tariq       Hassan, Chairman  Securities  and Exchange  Commission  of
Pakistan",400
"Farhatullah    Babar, Press  Spokesperson
to the President",400
"Brig. Nadeem Taj, Military Secretary to Chief Executive",400
"Cdr. Ejaz Shah, OSD Admin,               PM
Secretariat",400
"Mr. Mohsin Hafeez, JS (D) Sect.",350
"Mr.  Sikandar   Hayat   Khan
Bosan,      Minister      Food, Agriculture & Livestock.",350
"Mr.     Mahmood     Salim Mahmood,        Secretary,
National Assembly Sectt",350
"Col.     Muhammad     Ilyas,     Chief Security    Officer    to    the    Chief
Executive",350
"Capt.   Shah   Nawaz Jamali,  ADC  to  the
Prime Minister",350
"Brig.   Tasawar   Hussain,   Personal physician to CE",350
"Sqn.    Ldr.    Amjad Khalil  Faizi,  Deputy Director          (I&I),
(NAB), Karachi",300
"Mr.  Sikandar  Hayat  Khan Bosan,    Minister    Food,
Agriculture & Livestock",300
"Mr.     M.     Yaqoob     Malik,     Chief Coordinating Officer, SAARC, Human Resources Development Centre",300
"Lt.  Col.  Muhammad  Arshad,  Chief Security    Officer    to    the    Chief
Executive",300
Major Syed Tanveer Ali ADC to Chief Executive,300
"Director             General
National            Housing Authority, Islamabad",300
"Dr.    Babar    Awan, Federal  Minister  for",300
"Col   Salik   Nawaz   (Retd),   Deputy Chief  Protocol  Ministry  of  Foreign Affairs",300
"Mr.       Khalid       Saeed, Secretary,         Economic
Affairs Division (EAD)",250
"Mr.       Munir       Ahmed, Director      (P&C),      M/o Privatization",200
"Dr.  Tariq  Hassan,  Advisor  to  Finance Minister",150
"Hina      Rabbani      Khar, Minister        of        State
Economic Affairs Division",75
"Begum  General  Pervez  Musharraf,
President/     Chief     Executive     of Pakistan",70
"Mr.    Altaf    M.    Saleem,    Minster    for Privatization",55
"Mr.      Jahangir      Khan, Tareen,      Minister      for
Industries,       Production and special Initiatives,",50
"Mr. Iqbal, APO Ministry of Foreign Affairs",35
"Brig.   Imran   Malik, Military Secretary to
the Prime Minister",35
"Mr.    Munir    Ahmed,    JS Establishment Division",25
Director Marketing &,25
"Maj. M. Raza Saeed, PA- 36981 MO Dte",15
"Syed     Tariq     Fatemi, SAPM",8
"Mr.      Ahmad      Waqar, Secretary     Ministry     of
Petroleum     &     Natural Resources",8
"Dr.   Abdul   Hafeez, Minister              for
Privatization",8
"Col.    Salik    Nawaz    ®, Deputy  Chief  of  Protocol,
Foreign Affairs",8
"Addl.   Secretary   (Admn), Planning & Development",8
"Raja  Zafar-ul-Haque, Leader  of  the  House, Senate",5
"Muhammad  Ayub  Ahsan Bhatti,  PA-29056  GHQ,
Comdt 502 Cen Wksp",5
"Mr.        Syed        Jamal Khushnood,  Dy  Director",5
"Mr.  Sartaj  Aziz,  Advisor to the Prime Minister on",4
"Brig.  M.  Javed  Iqbal, DMT, CBT",4
"Mr. Afzal Latif, Secretary Establishment",3
"Mr.     Aizaz     Ahmed Chaudhry,      Foreign Secretary",3
Advisor  to  the  Prime  Minister  on Finance & Economic Affairs,3
Shah  Mehmood  Hussain,0
"Senator  Tariq  Azim  Khan,",0
"Wife of Mr. Khurshid M. Kasuri, Foreign Minister",0
"Secretary,    Ministry    of",0
Secretary     Ministry     of petroleum     &     Natural Resources,0
Mr. Mamnoon Hussain,
Science & Technology,0
President of Pakistan.,0
"Mrs. Munira Tahir, Wife of Military  Secretary  to  the
Prime Minister",0
"Protocol, Foreign Affairs",0
Prime Minister,
Prime    Minister    of Pakistan,
"Ms.     Sohaila     Mushtaq, Director    General    ERC,
Cabinet Division",0
President/     Chief     Executive     of Pakistan,0
"Mr. Atta Muhammad Raja, Additional          Secretary
(CS&M),   officer   of   ERC Cabinet Division",0
"Mr. Ghalib Iqbal, Chief of",0
"Mr.  Javed  Akthtar,  Press
Secretary      to      Prime Minister",0
"Mr.    Akhtar    Said    Minister    for Education,    Government    of    the Punjab",0
"Mr  Saleem  Khan,  Deputy
Secretary  (ERC),  Cabinet Division",0
"Mr.             Karamat Hussain           Niazi, Additional Secretary,   National
Assembly Sectt.",0
Minister of Pakistan,0
"Lt.  Cdr.  Waseem  Abbas Naqvi,    ADC    to    Prime Minister",0
"Khawaja Muhammad Asif, Defence Minister",0
"Mian      Muhammad Shehbaz        Sharif,",0
Industries   and   Defence Production,0
Military   Secretary   to   the   Prime,0
"General        Pervez         Musharraf, President/     Chief     Executive     of Pakistan",0
"Foreign      Minister      of Pakistan, Mr. Khurshid M. Kasuri",0
"General        Pervez         Musharraf,",0
"Eng.   Zulfiqar   Ali   Bhatti, Section    Officer    (R&S), Cabinet Division",0
"Capt.   (R)   Abdul   Saeed Naveed,    Addl    Security
Officer,    Prime    Minister Sectt.",0
"Chief          Minister, Punjab",0
"Chaudhary  Pervez  Ellahi, Senior      Minister      for",0
"Brig Tahir Mahmud Malik, Military  Secretary  to  the Prime Minister",0
"Brig.    Azhar    Mahmood Kayani,               Personal Physician       to       Prime
Minister",0
Grand Total,1206455829
